"MGH54_P12_C10" "MGH54_P16_F12" "MGH54_P11_C11" "MGH54_P15_D06" "MGH54_P16_A03" "MGH53_P7_B09" "MGH54_P10_G04" "MGH53_P2_A02" "MGH53_P7_F07" "MGH53_P5_G02" "MGH53_P11_H03" "MGH53_P1_A10" "MGH53_P5_H09" "MGH53_P11_E03" "MGH53_P10_F11" "MGH53_P1_D07" "MGH53_P2_G04" "MGH53_P2_G09" "MGH53_P5_F04" "MGH53_P11_F08" "MGH53_P8_F03" "MGH53_P6_B11" "MGH53_P6_H06" "MGH36_P6_F03" "MGH54_P2_C12" "MGH53_P4_H08" "MGH53_P2_E09" "MGH36_P5_E12" "MGH54_P2_H07" "MGH36_P4_H06" "MGH53_P1_C01" "MGH36_P4_A10" "MGH36_P3_D10" "MGH54_P2_F09" "MGH36_P7_H06" "MGH54_P2_H03" "MGH36_P8_A02" "MGH53_P2_C08" "MGH53_P2_A07" "MGH53_P1_F10" "MGH36_P3_H06" "MGH54_P2_F03"
"WASH7P" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"LINC00115" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"NOC2L" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"SDF4" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"UBE2J2" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"SCNN1D" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"ACAP3" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"PUSL1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"CPSF3L" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"AURKAIP1" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
